Incident Number,Incident Number, Date & Time Occurred, Offense Description, Location, Offense Category, Incident Type, Victim Age, Victim Gender, Victim Race, Suspect Name, Suspect Age, Suspect Gender, Suspect Race
76,10,0,0,0,0,0,0,0,0,0,0,0,0
77,10,0,0,0,0,0,0,0,0,0,0,0,0
78,12,0,0,0,0,0,0,0,0,0,0,0,0
79,11,0,0,0,0,0,0,0,0,0,0,0,0
80,10,0,0,0,0,0,0,0,0,0,0,0,0
81,13,0,0,0,0,0,0,0,0,0,0,0,0
82,11,0,0,0,0,0,0,0,0,0,0,0,0
83,11,0,0,0,0,0,0,0,0,0,0,0,0
84,10,0,0,0,0,0,0,0,0,0,0,0,0
85,10,0,0,0,0,0,0,0,0,0,0,0,0
86,11,0,0,0,0,0,0,0,0,0,0,0,0
87,8,0,0,0,0,0,0,0,0,0,0,0,0
88,10,0,0,0,0,0,0,0,0,0,0,0,0
89,9,0,0,0,0,0,0,0,0,0,0,0,0
90,9,0,0,0,0,0,0,0,0,0,0,0,0
91,9,0,0,0,0,0,0,0,0,0,0,0,0
92,8,0,0,0,0,0,0,0,0,0,0,0,0
93,8,0,0,0,0,0,0,0,0,0,0,0,0
94,8,0,0,0,0,0,0,0,0,0,0,0,0
95,8,0,0,0,0,0,0,0,0,0,0,0,0
96,8,0,0,0,0,0,0,0,0,0,0,0,0
97,9,0,0,0,0,0,0,0,0,0,0,0,0
98,9,0,0,0,0,0,0,0,0,0,0,0,0
