Study Area ID, Date & Time Stamp, Weather Condition, Temperature (°C), Relative Humidity (%), Atmospheric Pressure (hPa), Wind Speed (m/s), Precipitation (mm), Solar Radiation (W/m²), Soil Moisture (%)
90, 2022-03-23 12:00:00, Partly Cloudy,16,55,1022,15,7.0,0.0, 500
91, 2022-03-23 18:00:00, Clear Skies,18,40,1025,20,0.0,800.0, 15
92, 2022-03-24 00:00:00, Light Rain,14,75,1018,12,15.0,35.0, 220
93, 2022-03-24 06:00:00, Heavy Rain,12,88,1015,9,29.0,50.0, 120
94, 2022-03-24 12:00:00, Partly Cloudy,15,62,1020,16,5.0,0.0, 550
95, 2022-03-24 18:00:00, Clear Skies,17,35,1023,22,0.0,850.0, 10
96, 2022-03-25 00:00:00, Light Rain,13,72,1017,10,13.0,38.0, 235
97, 2022-03-25 06:00:00, Heavy Rain,11,90,1014,7,30.0,60.0, 115
98, 2022-03-25 12:00:00, Partly Cloudy,14,58,1019,14,4.0,0.0, 520
99, 2022-03-25 18:00:00, Clear Skies,16,38,1024,21,0.0,880.0, 5
100, 2022-03-26 00:00:00, Light Rain,12,78,1016,8,16.0,40.0, 240
101, 2022-03-26 06:00:00, Heavy Rain,10,89,1015,5,25.0,120.0, 290
102, 2022-03-26 12:00:00, Overcast,13,63,1018,12,0.0,600.0, 540
103, 2022-03-26 18:00:00, Clear Skies,17,35,1022,20,0.0,900.0, 6
104, 2022-03-27 00:00:00, Light Rain,11,74,1019,7,13.0,30.0, 255
105, 2022-03-27 06:00:00, Partly Cloudy,13,56,1017,10,2.0,185.0, 490
106, 2022-03-27 12:00:00, Clear Skies,18,32,1021,22,0.0,1010.0, 7
107, 2022-03-27 18:00:00, Overcast,16,48,1020,15,0.0,710.0, 560
108, 2022-03-28 00:00:00, Light Rain,13,71,1018,9,11.0,20.0, 265
109, 2022-03-28 06:00:00, Partly Cloudy,15,54,1016,13,5.0,230.0, 475
110, 2022-03-28 12:00:00, Clear Skies,20,30,1023,24,0.0,1100.0, 8
